433.329520202-32.703922222i	424.214680808-24.287360606i	418.226867677-20.018223232i	411.630520202-12.807660606i	408.940844444-9.981892929i	407.135996970-8.196318182i	406.202134343-7.122954545i	405.118473737-5.873145455i	404.174665657-5.266825253i	403.333073737-4.658838384i	402.195244444-3.981747475i	401.844466667-3.234451515i	401.659085859-3.317357576i	400.114728283-3.777709091i	398.270663636-2.533710101i
399.653139394-32.320867677i	391.400663636-23.181937374i	385.700400000-19.304365657i	379.525034343-12.318639394i	377.133380808-9.678064646i	375.405563636-7.974414141i	374.364920202-6.694609091i	373.464223232-5.702565657i	372.865063636-4.896420202i	371.819189899-4.324933333i	370.931579798-3.860383838i	370.451489899-3.020290909i	370.313415152-3.022080808i	368.745575758-3.404235354i	366.785255556-2.370567677i
377.251081818-31.730698990i	369.129458586-22.747673737i	363.240037374-18.654484848i	357.517761616-11.933427273i	355.236112121-9.328237374i	353.746594949-7.322946465i	352.765793939-6.131607071i	351.766475758-5.727743434i	351.056936364-4.734632323i	350.362672727-4.180917172i	349.674288889-3.381387879i	348.737569697-2.977271717i	348.721408081-2.899212121i	347.113422222-3.456259596i	345.921749495-2.451891919i
360.694268687-31.141936364i	352.732327273-22.652415152i	347.384174747-18.463697980i	341.146350505-11.623771717i	338.940789899-9.003788889i	337.600713131-7.557725253i	336.539253535-6.316285859i	335.594225253-5.367570707i	335.112855556-4.638594949i	334.316958586-4.208352525i	333.060510101-3.522467677i	332.650518182-2.824191919i	332.642635354-2.933730303i	331.297981818-3.254002020i	329.665797980-2.070931313i
347.390514141-30.978073737i	339.748983838-22.146015152i	334.218796970-18.399140404i	328.452105051-11.377639394i	326.244260606-8.986363636i	324.750320202-7.581589899i	323.876236364-6.165158586i	322.862173737-5.440333333i	322.033376768-4.725012121i	321.449601010-4.166281818i	320.650766667-3.298077778i	319.903088889-2.761294949i	319.872284848-2.903719192i	318.378804040-3.388833333i	316.748960606-2.542326263i
337.686087879-30.670515152i	330.026782828-22.135677778i	324.575891919-18.175964646i	318.928541414-11.260102020i	316.660110101-9.028263636i	315.177377778-7.508072727i	314.223001010-6.206236364i	313.163308081-5.302835354i	312.666353535-4.686298990i	311.648370707-4.080087879i	310.686324242-3.177597980i	310.149719192-2.942066667i	310.255851515-2.808662626i	308.896534343-3.283686869i	307.264729293-2.416851515i
329.287374747-30.865538384i	321.649785859-22.186827273i	316.252924242-18.065736364i	310.385720202-10.963150505i	308.186617172-8.825161616i	306.648666667-7.281056566i	305.705344444-6.203842424i	304.862011111-5.280715152i	304.122114141-4.561256566i	303.420173737-4.238557576i	302.513260606-3.331668687i	301.994039394-2.924618182i	301.866997980-2.797781818i	300.717074747-2.986788889i	298.559078788-2.201921212i
322.437357576-30.641448485i	314.528251515-22.032654545i	308.948675758-18.011031313i	303.320186869-11.231872727i	301.139634343-8.756211111i	299.706410101-7.189744444i	299.046823232-6.235757576i	297.730082828-5.505967677i	297.293215152-4.597985859i	296.230808081-4.158600000i	295.701630303-3.262862626i	294.964715152-2.774430303i	295.020184848-3.023402020i	293.627862626-3.421047475i	291.731287879-2.271704040i
316.026608081-30.621831313i	308.465493939-22.097523232i	303.053679798-18.091761616i	297.700790909-11.168258586i	295.413216162-8.875023232i	293.802462626-7.283984848i	292.988533333-6.322941414i	291.973497980-5.414669697i	291.180742424-4.705258586i	290.522723232-3.995102020i	289.497115152-3.572439394i	289.124303030-2.734927273i	288.894915152-2.689852525i	287.665356566-3.257853535i	285.885337374-2.206449495i
310.206066667-30.838011111i	303.035568687-22.068518182i	297.577213131-18.123329293i	292.053352525-11.276865657i	289.708886869-9.082107071i	288.299485859-7.100751515i	287.340746465-6.136437374i	286.273522222-5.575824242i	285.704148485-4.670352525i	284.907347475-4.084136364i	283.860653535-3.297489899i	283.553973737-2.780291919i	283.596372727-2.835663636i	282.236038384-3.325291919i	280.550247475-2.204878788i
305.746519192-30.636953535i	298.148133333-22.080995960i	292.743678788-17.865568687i	286.975339394-11.121440404i	284.906070707-8.730102020i	283.689361616-7.278513131i	282.575960606-6.137233333i	281.882357576-5.602197980i	280.862966667-4.534844444i	280.192911111-4.001521212i	279.325405051-3.447649495i	279.008061616-2.698674747i	279.004326263-2.671520202i	277.565722222-3.170266667i	276.248038384-2.467851515i
