222.548184848-23.194000000i	218.848872727-16.136522222i	214.503418182-13.162886869i	210.964337374-7.981022222i	209.176355556-6.362904040i	208.216283838-5.173772727i	207.624727273-4.273498990i	206.906095960-3.631834343i	206.560963636-2.985370707i	206.058047475-2.449980808i	205.713921212-1.988350505i	205.287417172-1.686422222i	204.961212121-1.427052525i	204.626947475-1.121452525i	204.312832323-0.689726263i
206.556264646-22.729359596i	203.153827273-15.585449495i	198.960945455-12.597019192i	195.765368687-7.539075758i	194.113552525-5.942138384i	193.222567677-4.830148485i	192.709725253-3.982479798i	192.040700000-3.362703030i	191.688876768-2.746235354i	191.295279798-2.281141414i	190.903769697-1.914849495i	190.575377778-1.586998990i	190.231126263-1.304443434i	189.952792929-1.018913131i	189.665053535-0.658246465i
194.568587879-22.123445455i	191.395283838-15.163953535i	187.254153535-12.225782828i	184.315610101-7.202774747i	182.733857576-5.691536364i	181.877314141-4.623790909i	181.409852525-3.775234343i	180.803936364-3.206324242i	180.444166667-2.632034343i	180.089810101-2.186324242i	179.698407071-1.828744444i	179.360960606-1.511578788i	179.087690909-1.202314141i	178.764795960-0.932422222i	178.510458586-0.613809091i
185.852578788-22.037370707i	182.760122222-14.952406061i	178.738593939-11.995093939i	175.878605051-7.068281818i	174.357428283-5.542129293i	173.562961616-4.473037374i	173.097472727-3.689117172i	172.497868687-3.116756566i	172.168469697-2.569941414i	171.819920202-2.140106061i	171.448908081-1.766440404i	171.122415152-1.465834343i	170.823777778-1.195154545i	170.594289899-0.926555556i	170.281310101-0.559043434i
179.240539394-22.097634343i	176.182581818-14.858452525i	172.212939394-11.881521212i	169.474087879-6.952229293i	167.967075758-5.437755556i	167.181751515-4.389219192i	166.747355556-3.596685859i	166.157238384-3.058784848i	165.857409091-2.479311111i	165.501449495-2.046907071i	165.095065657-1.709615152i	164.826645455-1.425408081i	164.544332323-1.139527273i	164.287475758-0.883066667i	164.069976768-0.550433333i
173.805915152-21.855342424i	170.812570707-14.685459596i	166.810733333-11.790630303i	164.193707071-6.853295960i	162.684336364-5.376535354i	161.967943434-4.329806061i	161.525027273-3.564421212i	160.922473737-3.015731313i	160.616602020-2.426856566i	160.288075758-2.067478788i	159.861396970-1.702937374i	159.597907071-1.403513131i	159.317031313-1.136789899i	159.058153535-0.883328283i	158.830184848-0.529257576i
169.445851515-21.888843434i	166.486903030-14.666348485i	162.556155556-11.736274747i	159.938838384-6.808759596i	158.442026263-5.361681818i	157.746855556-4.300928283i	157.286878788-3.530761616i	156.727033333-2.984639394i	156.404343434-2.434651515i	156.079973737-2.006115152i	155.698903030-1.701115152i	155.410316162-1.405360606i	155.162548485-1.137841414i	154.889732323-0.870831313i	154.681202020-0.528762626i
165.525147475-21.664757576i	162.676118182-14.541296970i	158.701921212-11.641239394i	156.131534343-6.751105051i	154.654274747-5.288247475i	153.940102020-4.243173737i	153.519090909-3.514319192i	152.928391919-2.941156566i	152.628685859-2.427137374i	152.297308081-2.021868687i	151.882589899-1.677398990i	151.618069697-1.361181818i	151.360113131-1.111283838i	151.081832323-0.832073737i	150.892751515-0.524934343i
162.411982828-21.828018182i	159.485950505-14.587759596i	155.618674747-11.620763636i	152.993123232-6.725847475i	151.566475758-5.242563636i	150.839731313-4.283003030i	150.418688889-3.514850505i	149.854936364-2.972597980i	149.549844444-2.407866667i	149.219006061-2.017152525i	148.819904040-1.657957576i	148.539364646-1.348538384i	148.315768687-1.088848485i	148.017310101-0.831942424i	147.828307071-0.517916162i
159.369100000-21.794845455i	156.499560606-14.548127273i	152.604528283-11.581657576i	150.059502020-6.683436364i	148.636364646-5.255415152i	147.893682828-4.229182828i	147.477956566-3.464579798i	146.916457576-2.927974747i	146.628301010-2.424246465i	146.311021212-2.006025253i	145.897114141-1.672097980i	145.617710101-1.353856566i	145.346736364-1.087588889i	145.113941414-0.834145455i	144.926879798-0.503091919i
156.960516162-21.785143434i	154.076356566-14.539903030i	150.161301010-11.633795960i	147.647064646-6.694841414i	146.205170707-5.250002020i	145.497668687-4.245775758i	145.091830303-3.462751515i	144.526205051-2.931625253i	144.204764646-2.381977778i	143.900106061-1.996296970i	143.469486869-1.594217172i	143.200538384-1.366445455i	142.975361616-1.086814141i	142.697956566-0.800479798i	142.507339394-0.523917172i
